code,buy_date,sell_date,buy_price,sell_price,shares,pnl,pnl_pct,reason
002953.SZ,2020-04-03,2020-04-07,31.7,31.03,400,-297.8239999999992,-2.11356466876971,放量阴线
002953.SZ,2020-04-07,2020-04-08,31.03,30.26,400,-337.2079999999998,-2.48146954560103,调仓换股
600960.SH,2020-04-07,2020-04-08,3.21,3.22,8100,22.315500000001876,0.311526479750786,调仓换股
600560.SH,2020-04-03,2020-04-09,9.23,9.78,2000,1055.879999999998,5.958829902491862,调仓换股
300141.SZ,2020-04-03,2020-04-10,8.19,8.75,2100,1134.2500000000011,6.8376068376068435,调仓换股
002357.SZ,2020-04-10,2020-04-13,5.75,5.67,5400,-500.8905000000004,-1.3913043478260883,调仓换股
300097.SZ,2020-04-10,2020-04-13,10.55,10.47,2000,-207.11500000000015,-0.7582938388625599,调仓换股
600495.SH,2020-04-10,2020-04-14,4.32,4.31,5800,-114.24550000000391,-0.23148148148149708,调仓换股
000893.SZ,2020-04-13,2020-04-14,6.36,6.52,4900,712.1169999999964,2.5157232704402395,调仓换股
300106.SZ,2020-04-13,2020-04-16,6.47,6.68,3300,643.401,3.2457496136012365,调仓换股
603018.SH,2020-04-15,2020-04-16,13.2,13.47,2300,551.292750000003,2.0454545454545556,调仓换股
603997.SH,2020-04-15,2020-04-17,8.84,8.88,2400,48.0480000000022,0.45248868778281587,调仓换股
002645.SZ,2020-04-16,2020-04-17,10.22,10.22,2300,-52.8885,0.0,调仓换股
600361.SH,2020-04-14,2020-04-20,4.15,4.03,5800,-748.5915000000006,-2.891566265060243,第5天未盈利 (-2.9%)
600628.SH,2020-04-15,2020-04-20,11.98,12.18,2500,431.48749999999825,1.669449081802999,调仓换股
000833.SZ,2020-04-16,2020-04-21,5.11,5.06,4800,-294.64800000000344,-0.9784735812133211,调仓换股
000639.SZ,2020-04-17,2020-04-21,5.67,5.87,3800,709.8115000000006,3.5273368606701974,调仓换股
600300.SH,2020-04-20,2020-04-21,3.38,3.46,8500,613.8275000000007,2.3668639053254457,调仓换股
600540.SH,2020-04-17,2020-04-22,4.48,4.88,4300,1672.7859999999978,8.928571428571416,调仓换股
600361.SH,2020-04-20,2020-04-22,4.03,4.13,6400,580.5279999999977,2.4813895781637627,调仓换股
603713.SH,2020-04-21,2020-04-22,59.19,60.69,500,681.72375,2.5342118601115056,调仓换股
002155.SZ,2020-04-22,2020-04-23,8.05,8.31,4600,1109.9914999999992,3.2298136645962705,调仓换股
600628.SH,2020-04-21,2020-04-24,11.98,11.18,2700,-2227.918500000002,-6.677796327212025,调仓换股
000903.SZ,2020-04-21,2020-04-24,5.47,5.38,3000,-307.2799999999995,-1.6453382084095038,调仓换股
600452.SH,2020-04-22,2020-04-24,19.1,19.16,1800,30.4019999999977,0.31413612565444354,调仓换股
600825.SH,2020-04-22,2020-04-24,5.32,5.27,6900,-426.8167500000049,-0.9398496240601637,调仓换股
002365.SZ,2020-04-23,2020-04-24,11.5,11.11,2600,-1078.9935000000014,-3.3913043478260922,调仓换股
300669.SZ,2020-04-24,2020-04-27,39.19,38.92,1000,-357.56999999999607,-0.6889512630773055,调仓换股
920023.BJ,2020-04-24,2020-04-28,1.39,1.45,15600,885.1050000000008,4.316546762589932,调仓换股
603669.SH,2020-04-24,2020-04-29,11.21,10.88,2800,-992.5440000000003,-2.9438001784121326,调仓换股
000903.SZ,2020-04-27,2020-04-30,4.84,4.78,3400,-241.50399999999868,-1.2396694214875952,调仓换股
000779.SZ,2020-04-28,2020-04-30,10.8,10.92,2300,219.4889999999982,1.1111111111111038,调仓换股
002165.SZ,2020-04-29,2020-04-30,4.73,4.72,4100,-84.70400000000278,-0.21141649048627217,调仓换股
300143.SZ,2020-04-29,2020-05-06,12.16,12.58,2000,783.39,3.453947368421052,调仓换股
