date,equity,cash,positions,drawdown,returns
2020-04-03,1000000.0,1000000.0,0,0.0,
2020-04-07,1000000.0,1000000.0,0,0.0,0.0
2020-04-08,1000000.0,1000000.0,0,0.0,0.0
2020-04-09,1000000.0,1000000.0,0,0.0,0.0
2020-04-10,1000000.0,1000000.0,0,0.0,0.0
2020-04-13,1000000.0,1000000.0,0,0.0,0.0
2020-04-14,1000000.0,1000000.0,0,0.0,0.0
2020-04-15,1000066.789,910698.789,5,0.0,6.678899999990051e-05
2020-04-16,1000995.0407499999,849078.0407499999,5,0.0,0.0009281897571342679
2020-04-17,996743.0407499999,849078.0407499999,5,-0.004247773292477224,-0.004247773292477275
2020-04-20,994527.0407499999,849078.0407499999,5,-0.0064615704740693045,-0.0022232410053574236
2020-04-21,995511.0407499999,849078.0407499999,5,-0.0054785486208713775,0.0009894150281302139
2020-04-22,997635.8727499999,837181.1607499999,5,-0.0033558288135805267,0.002134413294300641
2020-04-23,996130.2537499999,853610.2537499999,5,-0.004859951150562192,-0.0015091869098989852
2020-04-24,994009.2537499999,853610.2537499999,5,-0.006978842767058945,-0.002129239617023382
2020-04-27,994698.2537499999,853610.2537499999,5,-0.006290527668630722,0.0006931525007445316
2020-04-28,992554.2537499999,853610.2537499999,5,-0.008432396421940028,-0.0021554275298233394
2020-04-29,996657.2537499999,853610.2537499999,5,-0.004333475015770213,0.004133779070008892
2020-04-30,998395.3687499999,846513.16875,5,-0.0025970877918158365,0.0017439445641520557
2020-05-06,1001166.2787499999,851384.8887499999,5,0.0,0.002775363434897704
2020-05-07,1001832.00775,853171.30375,5,0.0,0.000664953478887842
2020-05-08,1002352.40775,861597.40775,5,0.0,0.0005194483665666993
2020-05-11,1001231.80775,861597.40775,5,-0.001117970078522991,-0.0011179700785229896
2020-05-12,999531.00775,861597.40775,5,-0.00281477849325795,-0.0016987075189132117
2020-05-13,1000652.60775,861597.40775,5,-0.001695810761621874,0.0011221262685234823
2020-05-14,999426.40775,861597.40775,5,-0.002919133008886614,-0.001225400294271095
2020-05-15,999304.60775,861597.40775,5,-0.00304064715806041,-0.00012186990363227679
2020-05-18,999666.60775,861597.40775,5,-0.0026794967311236516,0.0003622519071688757
2020-05-19,999628.2077500001,861597.40775,5,-0.0027178066106660214,-3.8412806531940014e-05
2020-05-20,1000665.46655,861597.40775,5,-0.0016829821397712915,0.0010376445882160912
2020-05-21,997571.3671500001,849126.22155,5,-0.004769820038375569,-0.003092041749644392
2020-05-22,995871.0539,809942.23965,5,-0.006466142845457694,-0.0017044527399154852
2020-05-25,995793.7640000002,843819.1924000002,5,-0.006543251354802578,-7.761034894748775e-05
2020-05-26,998634.2640000002,862585.7640000002,5,-0.0037094176870847285,0.002852498280959237
2020-05-27,998811.2640000002,862585.7640000002,5,-0.0035328330860686895,0.00017724206587010904
2020-05-28,998884.7640000002,862585.7640000002,5,-0.0034595055822569444,7.358747608199323e-05
2020-05-29,997764.2640000002,862585.7640000002,5,-0.0045773758954686505,-0.0011217510171173117
2020-06-01,1002711.2896000003,862585.7640000002,5,0.0,0.004958110626419598
2020-06-02,1002238.0978500001,861665.0706000002,5,-0.000471912259199634,-0.000471912259199625
2020-06-03,1002630.3296500002,896926.6818500002,5,-8.074103766433514e-05,0.00039135590718553104
2020-06-04,1001414.4296500002,901289.0296500002,5,-0.0012933532946631248,-0.0012127101724764833
2020-06-05,1003034.3052300002,901289.0296500002,5,0.0,0.001617587616114191
2020-06-08,1003905.3452300001,908242.2952300002,5,0.0,0.0008684049941842797
2020-06-09,1003450.7852300003,893622.6952300002,5,-0.00045279169212479977,-0.00045279169212475434
2020-06-10,1002418.2884800002,860665.1697300002,5,-0.0014812718719603786,-0.0010289460780713577
2020-06-11,1002453.0181200003,886967.2004800002,5,-0.0014466773355680284,3.464585632473316e-05
2020-06-12,1003439.6181200002,897422.4181200003,5,-0.00046391536036015526,0.0009841857744616878
2020-06-15,1006393.5279400002,897422.4181200003,5,0.0,0.0029437843260906593
2020-06-16,1006859.7979400002,912906.4579400002,5,0.0,0.0004633078284539405
2020-06-17,1008597.7079400002,912906.4579400002,5,0.0,0.0017260695119178937
2020-06-18,1006790.7368150002,886115.7039400003,5,-0.0017915677487416357,-0.0017915677487416737
2020-06-19,1006211.9520950003,907836.5628150003,5,-0.0023654186661525153,-0.0005748808554107976
2020-06-22,1005002.6420950004,908116.3520950003,5,-0.0035644200028399466,-0.0012018442013952413
2020-06-23,1004107.9394950003,908116.3520950003,5,-0.004451495784349953,-0.0008902490028632748
2020-06-24,1006102.4484150003,891480.6219950003,5,-0.00247398889106768,0.0019863491180074355
2020-06-29,1006038.2643050002,864400.6636650002,5,-0.0025376258689180854,-6.379480549045802e-05
2020-06-30,1007450.5763050002,849727.5763050002,5,-0.0011373530060294751,0.001403835271589493
