code,buy_date,sell_date,buy_price,sell_price,shares,pnl,pnl_pct,reason
603127.SH,2020-05-08,2020-05-14,100.49,110.15,50,466.9850000000006,9.612896805652316,分批止盈(浮盈10.3%达10%)
600312.SH,2020-05-08,2020-05-28,8.5,7.56,2700,-2583.9270000000006,-11.05882352941177,硬止损(ATR=0.39)
603127.SH,2020-05-08,2020-06-02,100.49,122.8,37,811.3828000000001,22.20121405114937,分批止盈(浮盈21.7%达20%)
603067.SH,2020-05-08,2020-06-09,5.73,6.23,1150,555.671,8.726003490401396,分批止盈(浮盈10.6%达10%)
603127.SH,2020-05-08,2020-06-09,100.49,90.25,113,-1182.5164999999993,-10.190068663548606,第22天深度亏损(-8.0%)
603067.SH,2020-05-08,2020-06-16,5.73,6.08,1035,344.66439999999966,6.1082024432809705,浮盈5.4%后跌破BBI
603067.SH,2020-05-08,2020-06-19,5.73,6.14,724,282.9492799999995,7.155322862129131,浮盈7.5%后跌破BBI
601606.SH,2020-05-28,2020-06-19,11.6,12.57,425,396.5655000000003,8.362068965517247,分批止盈(浮盈10.5%达10%)
603067.SH,2020-05-08,2020-06-22,5.73,6.17,507,211.82361999999978,7.678883071553219,浮盈7.7%后跌破BBI
603067.SH,2020-05-08,2020-06-23,5.73,6.14,355,136.19059999999973,7.155322862129131,浮盈6.8%后跌破BBI
603067.SH,2020-05-08,2020-06-24,5.73,6.05,248,71.35919999999984,5.584642233856883,浮盈5.6%后跌破BBI
601606.SH,2020-05-28,2020-06-24,11.6,12.66,1275,1314.2170000000008,9.137931034482763,放量阴线
603067.SH,2020-05-08,2020-06-29,5.73,5.99,581,139.0996199999999,4.537521815008723,移动止盈(锁定4.2%)
300677.SZ,2020-06-29,2020-07-06,121.01,135.18,50,689.9820000000001,11.709776051565987,分批止盈(浮盈10.7%达10%)
002851.SZ,2020-06-24,2020-07-09,25.5,28.7,325,1016.3449999999997,12.549019607843134,分批止盈(浮盈15.1%达10%)
000581.SZ,2020-07-02,2020-07-10,20.77,22.9,525,1089.2049999999995,10.255175734232061,分批止盈(浮盈11.1%达10%)
300677.SZ,2020-06-29,2020-07-14,121.01,167.61,37,1706.7968600000004,38.50921411453599,分批止盈(浮盈25.9%达20%)
688166.SH,2020-07-07,2020-07-14,59.39,66.75,100,717.6500000000001,12.392658696750294,分批止盈(浮盈13.6%达10%)
002851.SZ,2020-06-24,2020-07-15,25.5,31.32,243,1394.03848,22.823529411764707,分批止盈(浮盈22.8%达20%)
002851.SZ,2020-06-24,2020-07-16,25.5,30.35,732,3500.2135500000013,19.01960784313726,放量阴线
000581.SZ,2020-07-02,2020-07-16,20.77,22.45,472,766.7671999999998,8.088589311506981,浮盈8.0%后跌破BBI
000581.SZ,2020-07-02,2020-07-17,20.77,22.28,330,478.59520000000055,7.2701011073664015,浮盈6.0%后跌破BBI
000581.SZ,2020-07-02,2020-07-20,20.77,22.5,231,384.2350000000001,8.329321136254215,浮盈7.4%后跌破BBI
300408.SZ,2020-07-16,2020-07-20,28.096363636363638,27.7,1100,-504.55750000000205,-1.4107293082249468,换仓(高分替换)
688166.SH,2020-07-07,2020-07-22,59.39,60.78,300,375.5320000000002,2.340461357130831,移动止盈(锁定2.7%)
688268.SH,2020-07-22,2020-07-23,83.99,88.95,30,138.46300000000025,5.90546493630195,浮盈7.7%后跌破BBI
000581.SZ,2020-07-02,2020-07-24,20.77,22.4,162,251.8023999999998,7.847857486759745,浮盈8.8%后跌破BBI
688268.SH,2020-07-22,2020-07-24,83.99,88.32,21,82.22055999999996,5.155375639957136,浮盈6.2%后跌破BBI
300677.SZ,2020-06-29,2020-07-27,121.01,147.8,33,869.3152000000002,22.138666225931743,浮盈23.3%后跌破BBI
300677.SZ,2020-06-29,2020-07-28,121.01,152.43,24,741.76336,25.964796297826627,浮盈25.0%后跌破BBI
000581.SZ,2020-07-02,2020-07-29,20.77,21.71,114,97.21012000000013,4.52575830524796,浮盈5.1%后跌破BBI
688123.SH,2020-07-21,2020-07-30,81.6,74.8,200,-1394.9199999999996,-8.33333333333333,牛市第7天亏损(-8.4%)
